City_ID,City,Country,AQI_Value,AQI_Category,CO_AQI_Value,CO_AQI_Category,Ozone_AQI_Value,Ozone_AQI_Category,NO2_AQI_Value,NO2_AQI_Category,PM2.5_AQI_Value,PM2.5_AQI_Category
3678,Backnang,Germany,50,Good,1,Good,39,Good,4,Good,50,Good
3679,Bad Homburg,Germany,69,Moderate,1,Good,36,Good,3,Good,69,Moderate
3680,Bad Nauheim,Germany,64,Moderate,1,Good,40,Good,2,Good,64,Moderate
3681,Bad Wurzach,Germany,47,Good,1,Good,27,Good,6,Good,47,Good
3682,Baghpat,India,168,Unhealthy,4,Good,161,Unhealthy,3,Good,168,Unhealthy
3683,Altadena,United States of America,125,Unhealthy for Sensitive Groups,4,Good,7,Good,35,Good,125,Unhealthy for Sensitive Groups
3684,Altusried,Germany,42,Good,1,Good,27,Good,6,Good,42,Good
3685,Alzey,Germany,62,Moderate,1,Good,35,Good,3,Good,62,Moderate
3686,Amberieu En Bugey,France,129,Unhealthy for Sensitive Groups,2,Good,24,Good,3,Good,129,Unhealthy for Sensitive Groups
3687,Ambodifototra,Madagascar,26,Good,0,Good,26,Good,0,Good,15,Good
3688,Americo Brasiliense,Brazil,52,Moderate,1,Good,13,Good,1,Good,52,Moderate
3689,Ananindeua,Brazil,59,Moderate,1,Good,14,Good,1,Good,59,Moderate
3690,Andira,Brazil,53,Moderate,1,Good,14,Good,1,Good,53,Moderate
3691,Anna,Russian Federation,45,Good,1,Good,28,Good,2,Good,45,Good
3692,Apaxco,Mexico,85,Moderate,1,Good,18,Good,4,Good,85,Moderate
3693,Araxa,Brazil,28,Good,1,Good,10,Good,1,Good,28,Good
3694,Arica,Chile,25,Good,1,Good,24,Good,2,Good,25,Good
3695,Yautepec,Mexico,151,Unhealthy,2,Good,35,Good,3,Good,151,Unhealthy
3696,Yebaishou,China,115,Unhealthy for Sensitive Groups,4,Good,41,Good,7,Good,115,Unhealthy for Sensitive Groups
3697,Ypsilanti,United States of America,56,Moderate,1,Good,35,Good,1,Good,56,Moderate
